Neighbourhood ID,Neighbourhood Name,"Rate per 100,000 people",Case Count
138,Eglinton East,2493.853179,568
47,Don Valley Village,1157.073676,313
38,Lansing-Westgate,989.8539965,160
9,Edenbridge-Humber Valley,1841.004184,286
44,Flemingdon Park,3082.11371,676
59,Danforth East York,873.1082654,150
129,Agincourt North,1477.003401,430
99,Mount Pleasant East,655.7377049,110
137,Woburn,2989.623259,1599
102,Forest Hill North,1452.444167,186
111,Rockcliffe-Smythe,2315.022925,515
130,Milliken,1279.542375,340
55,Thorncliffe Park,3790.032215,800
7,Willowridge-Martingrove-Richview,1972.377686,437
12,Markland Wood,966.4582149,102
60,Woodbine-Lumsden,877.3045137,69
10,Princess-Rosethorn,1094.923536,121
15,Kingsway South,1003.128034,93
114,Lambton Baby Point,826.5497808,66
133,Centennial Scarborough,1174.973806,157
75,Church-Yonge Corridor,1266.751755,397
26,Downsview-Roding-CFB,4085.358895,1432
61,Taylor-Massey,1938.404642,304
124,Kennedy Park,2423.640717,415
100,Yonge-Eglinton,719.3026995,85
120,Clairlea-Birchmount,2442.187963,659
90,Junction Area,1413.058611,203
115,Mount Dennis,3487.088943,474
32,Englemount-Lawrence,3321.11568,743
77,Waterfront Communities-The Island,1241.029842,818
70,South Riverdale,656.4786913,183
74,North St. James Town,2503.357507,466
106,Humewood-Cedarvale,918.9001044,132
93,Dovercourt-Wallace Emerson-Junction,1160.409556,425
42,Banbury-Don Mills,982.1267377,272
97,Yonge-St.Clair,710.4086845,89
104,Mount Pleasant West,1436.374671,426
53,Henry Farm,1895.312599,298
8,Humber Heights-Westmount,2840.701498,311
89,Runnymede-Bloor West Village,506.4548163,51
85,South Parkdale,2416.586571,528
140,Guildwood,2531.007361,251
118,Tam O'Shanter-Sullivan,1799.897981,494
36,Newtonbrook West,2643.615459,630
,Missing Address/Postal Code,,1224
84,Little Portugal,1664.631403,259
49,Bayview Woods-Steeles,1634.483807,215
82,Niagara,1148.171905,358
14,Islington-City Centre West,1887.865347,830
123,Cliffcrest,1914.02573,305
117,L'Amoreaux,1718.455209,756
122,Birchcliffe-Cliffside,2144.363196,478
81,Trinity-Bellwoods,942.2565837,156
11,Eringate-Centennial-West Deane,1221.21799,227
5,Elms-Old Rexdale,2887.055838,273
51,Willowdale East,640.4409724,323
87,High Park-Swansea,957.1577847,229
68,North Riverdale,721.7186976,86
71,Cabbagetown-South St. James Town,2065.301225,241
83,Dufferin Grove,1383.114128,163
30,Brookhaven-Amesbury,3057.948978,543
24,Black Creek,4830.473386,1050
20,Alderwood,1435.20823,173
4,Rexdale-Kipling,3172.191091,334
125,Ionview,1319.551353,180
110,Keelesdale-Eglinton West,2116.11503,234
2,Mount Olive-Silverstone-Jamestown,5192.085938,1711
52,Bayview Village,757.1508693,162
72,Regent Park,1860.594279,201
80,Palmerston-Little Italy,744.9732388,103
116,Steeles,1754.457215,432
16,Stonegate-Queensway,802.3631791,201
135,Morningside,3047.837296,532
98,Rosedale-Moore Park,697.7966831,146
29,Maple Leaf,5034.121254,509
136,West Hill,2007.885514,550
1,West Humber-Clairville,4385.806916,1461
101,Forest Hill South,670.8907939,72
112,Beechborough-Greenbrook,3512.239623,231
79,University,1446.036545,110
109,Caledonia-Fairbank,2009.040683,200
56,Leaside-Bennington,849.7741859,143
103,Lawrence Park South,711.5093221,108
73,Moss Park,1916.51224,393
31,Yorkdale-Glen Park,3721.967036,551
25,Glenfield-Jane Heights,4440.654619,1354
91,Weston-Pelham Park,1793.115877,199
66,Danforth,1075.936271,104
3,Thistletown-Beaumond Heights,5347.490347,554
88,High Park North,694.8831333,154
58,Old East York,1191.37875,110
139,Scarborough Village,3779.000239,632
21,Humber Summit,3793.492268,471
19,Long Branch,961.9198731,97
46,Pleasant View,1378.176761,218
131,Rouge,3081.985547,1433
18,New Toronto,1544.098404,177
34,Bathurst Manor,2904.302904,461
67,Playter Estates-Danforth,1371.091748,107
54,O'Connor-Parkview,1381.526104,258
17,Mimico (includes Humber Bay Shores),1539.86574,523
64,Woodbine Corridor,621.9599713,78
126,Dorset Park,3243.610767,811
6,Kingsview Village-The Westway,3331.818182,733
57,Broadview North,1026.176189,118
121,Oakridge,2701.336222,374
127,Bendale,2726.969292,817
107,Oakwood Village,1970.768505,418
45,Parkwoods-Donalda,1272.805631,443
69,Blake-Jones,957.6808593,74
119,Wexford/Maryvale,1916.395028,535
108,Briar Hill-Belgravia,2160.342288,308
27,York University Heights,4091.617439,1129
22,Humbermede,4367.963976,679
41,Bridle Path-Sunnybrook-York Mills,723.0736024,67
128,Agincourt South-Malvern West,1570.06356,373
23,Pelmo Park-Humberlea,3516.135049,377
28,Rustic,2605.371693,259
86,Roncesvalles,981.7016161,147
78,Kensington-Chinatown,1382.000557,248
92,Corso Italia-Davenport,1500.035378,212
63,The Beaches,482.2182037,104
48,Hillcrest Village,1003.897484,170
43,Victoria Village,2015.990862,353
50,Newtonbrook East,652.2954588,105
62,East End-Danforth,1113.137833,238
132,Malvern,2986.710508,1308
40,St.Andrew-Windfields,707.3882776,126
96,Casa Loma,802.3340627,88
134,Highland Creek,2609.252441,326
65,Greenwood-Coxwell,971.0758133,140
39,Bedford Park-Nortown,1596.660355,371
13,Etobicoke West Mall,2413.909521,286
33,Clanton Park,1572.365226,259
105,Lawrence Park North,677.7572397,99
35,Westminster-Branson,3037.22311,798
113,Weston,4585.371276,825
94,Wychwood,1149.905917,165
95,Annex,1271.047632,388
37,Willowdale West,1021.492678,173
76,Bay Street Corridor,825.6774043,213
